Package Name,repository,Prediction,Malicious_Probability,Package_Type
30-days-of-javascript-3.3.5,1,Benign,0.021045485403937542,NPM
abha-3.9.0,1,Malicious,0.9753086419753086,NPM
ace-colorpicker-rpk-0.0.13,1,Benign,0.021045485403937542,NPM
axios-1.13.2,1,Benign,0.021045485403937542,NPM
bignum-0.12.2,1,Malicious,0.9753086419753086,NPM
body-parser-2.2.1,1,Benign,0.021045485403937542,NPM
bundled-deps-poc-1.0.0,1,Malicious,0.9753086419753086,NPM
chalk-5.6.2,1,Benign,0.021045485403937542,NPM
commander-14.0.2,1,Benign,0.021045485403937542,NPM
cors-2.8.5,1,Benign,0.021045485403937542,NPM
debug-4.4.3,1,Benign,0.021045485403937542,NPM
eslint-9.39.2,1,Benign,0.021045485403937542,NPM
express-5.2.1,1,Benign,0.021045485403937542,NPM
ikarem-telemetry-100.1.2,1,Malicious,0.9753086419753086,NPM
jsondatatoruby-1.999.10,1,Malicious,0.9753086419753086,NPM
lodash-4.17.21,1,Benign,0.021045485403937542,NPM
mui-wrapper-icons-99.99.1,1,Malicious,0.9753086419753086,NPM
raven-hubspot-20.0.0,1,Malicious,0.9753086419753086,NPM
semver-7.7.3,1,Benign,0.021045485403937542,NPM
typescript-5.9.3,1,Benign,0.021045485403937542,NPM
uuid-13.0.0,1,Benign,0.021045485403937542,NPM
vscode-azure-mcp-server-1.0.0,1,Malicious,0.9753086419753086,NPM
vue2-amis-custom-widget-pro-1.0.2,1,Benign,0.21212121212121213,NPM
webpack-5.104.1,1,Benign,0.021045485403937542,NPM
0x000testqwe-5.20.4,2,Malicious,0.9753086419753086,PyPI
10Cent10-999.0.4,2,Malicious,0.9753086419753086,PyPI
10Cent11-999.0.4,2,Malicious,0.9753086419753086,PyPI
12Cent-999.0.0,2,Malicious,0.9753086419753086,PyPI
aiottp-0.1,2,Benign,0.21212121212121213,PyPI
antchain_sdk_baasplus-1.0.0,2,Malicious,0.9753086419753086,PyPI
aws-login0tool-0.0.14,2,Malicious,0.9753086419753086,PyPI
beautifulsoupp-0.1,2,Benign,0.21212121212121213,PyPI
bitcinlib-0.1,2,Benign,0.21212121212121213,PyPI
bitcoilnib-0.1,2,Benign,0.21212121212121213,PyPI
bitcoinliv-4.5.2,2,Malicious,0.9753086419753086,PyPI
cccxt-0.1,2,Benign,0.21212121212121213,PyPI
clicck-0.1,2,Benign,0.21212121212121213,PyPI
clickk-0.1,2,Benign,0.21212121212121213,PyPI
coolrama-0.1,2,Benign,0.21212121212121213,PyPI
craftencode-2.14,2,Benign,0.21212121212121213,PyPI
fast_backend_builder-0.1.3.51,2,Benign,0.021045485403937542,PyPI
hdc_py-0.1.3,2,Benign,0.21212121212121213,PyPI
mcard-0.1.39,2,Benign,0.021045485403937542,PyPI
moose_lib-0.6.298,2,Benign,0.021045485403937542,PyPI
pandas-3.0.0rc1,2,Benign,0.021045485403937542,PyPI
pygeofilter-0.3.3,2,Benign,0.021045485403937542,PyPI
python_ceair_helper-0.1.4,2,Benign,0.021045485403937542,PyPI
python_invar-0.2.0,2,Benign,0.021045485403937542,PyPI
requests-2.31.0,2,Benign,0.021045485403937542,PyPI
sciv-0.0.78,2,Benign,0.021045485403937542,PyPI
typerconf-2.10,2,Benign,0.21212121212121213,PyPI
unxt_hypothesis-1.8.0,2,Benign,0.021045485403937542,PyPI
vibego-1.3.24,2,Benign,0.021045485403937542,PyPI
vorp-0.1.11,2,Benign,0.021045485403937542,PyPI
