Package Name,repository,Prediction,Malicious_Probability,Package_Type
0x000testqwe-5.20.4,2,Malicious,0.92,PyPI
10Cent10-999.0.4,2,Malicious,0.92,PyPI
10Cent11-999.0.4,2,Malicious,0.92,PyPI
12Cent-999.0.0,2,Benign,0.4583333333333333,PyPI
aiottp-0.1,2,Benign,0.11458333333333333,PyPI
antchain_sdk_baasplus-1.0.0,2,Malicious,0.92,PyPI
aws-login0tool-0.0.14,2,Benign,0.11458333333333333,PyPI
beautifulsoupp-0.1,2,Benign,0.11458333333333333,PyPI
bitcinlib-0.1,2,Benign,0.11458333333333333,PyPI
bitcoilnib-0.1,2,Benign,0.11458333333333333,PyPI
bitcoinliv-4.5.2,2,Benign,0.11458333333333333,PyPI
cccxt-0.1,2,Benign,0.11458333333333333,PyPI
clicck-0.1,2,Benign,0.11458333333333333,PyPI
clickk-0.1,2,Benign,0.11458333333333333,PyPI
coolrama-0.1,2,Benign,0.11458333333333333,PyPI
craftencode-2.14,2,Benign,0.4583333333333333,PyPI
fast_backend_builder-0.1.3.51,2,Benign,0.01991465149359886,PyPI
hdc_py-0.1.3,2,Benign,0.11458333333333333,PyPI
mcard-0.1.39,2,Benign,0.01991465149359886,PyPI
moose_lib-0.6.298,2,Benign,0.01991465149359886,PyPI
pandas-3.0.0rc1,2,Benign,0.01991465149359886,PyPI
pygeofilter-0.3.3,2,Benign,0.01991465149359886,PyPI
python_ceair_helper-0.1.4,2,Benign,0.11458333333333333,PyPI
python_invar-0.2.0,2,Benign,0.01991465149359886,PyPI
requests-2.31.0,2,Benign,0.01991465149359886,PyPI
sciv-0.0.78,2,Benign,0.01991465149359886,PyPI
typerconf-2.10,2,Malicious,0.92,PyPI
unxt_hypothesis-1.8.0,2,Benign,0.01991465149359886,PyPI
vibego-1.3.24,2,Benign,0.01991465149359886,PyPI
vorp-0.1.11,2,Benign,0.01991465149359886,PyPI
